# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	916
#@/user_id	iMac-Home
a 	啊	c=13 d=5.83761 t=916
an xia 	按下	c=1 d=1 t=630
an zhuang 	安裝	c=1 d=0.22313 t=916
ba 	吧	c=5 d=1.60457 t=916
ba 	把	c=2 d=0.44011 t=916
ba suo you 	把所有	c=1 d=0.311923 t=916
bai fen bi 	百分比	c=1 d=0.481909 t=916
ban 	半	c=2 d=1.5886 t=843
ban ben 	版本	c=1 d=0.285076 t=916
ban tian 	半天	c=0 d=0.1 t=28
bang wo 	幫我	c=1 d=0.414783 t=916
bao 	包	c=1 d=0.228779 t=916
bao chi 	保持	c=2 d=0.740818 t=916
bao han 	包含	c=1 d=1 t=18
bei 	背	c=1 d=0.579842 t=916
bei jing 	北京	c=1 d=0.545943 t=916
ben shen 	本身	c=0 d=0.038868 t=916
ben shen jiu shi 	本身就是	c=1 d=0.831104 t=916
ben shen ne 	本身呢	c=1 d=0.390628 t=916
bi jiao 	比較	c=1 d=0.631284 t=916
bi jiao shao 	比較少	c=0 d=0.0774916 t=916
bi jing 	畢竟	c=1 d=1 t=676
bi ru 	比如	c=3 d=1.07226 t=916
bian cheng 	編程	c=2 d=1.77105 t=898
bian xie 	編寫	c=1 d=1 t=901
biao da shi 	表達式	c=0 d=0.0878095 t=916
biao qing 	表情	c=1 d=0.276651 t=916
biao yan 	表演	c=1 d=0.618783 t=916
bie 	別	c=0 d=0.0379083 t=916
bie jin 	別勁	c=0 d=0.0494109 t=916
bie ren de 	別人的	c=1 d=1 t=668
bing ge 	兵哥	c=1 d=0.621885 t=916
bu 	不	c=1 d=0.0572688 t=916
bu gei wo chi 	不給我吃	c=1 d=1 t=820
bu gou 	不夠	c=1 d=0.918512 t=916
bu hao 	不好	c=1 d=0.955997 t=916
bu hao gao 	不好搞	c=1 d=0.527292 t=916
bu hao shi 	不好使	c=1 d=0.302704 t=916
bu hui che 	不回車	c=1 d=1 t=620
bu liao 	不了	c=0 d=0.0440432 t=916
bu neng kan 	不能看	c=1 d=0.895834 t=916
bu shao 	不少	c=1 d=0.852014 t=671
bu shu 	部署	c=1 d=0.612626 t=916
bu xiang 	不想	c=1 d=0.499074 t=916
bu xu yao 	不需要	c=1 d=1 t=637
bu yong 	不用	c=0 d=0.1 t=590
bu zhi dao 	不知道	c=1 d=0.666977 t=916
cai 	才	c=1 d=0.377192 t=916
can shu 	參數	c=0 d=0.0806541 t=916
ce shi 	測試	c=1 d=1.00486 t=625
ce shi shu ru fa 	測試輸入法	c=1 d=1 t=21
cha bu duo 	差不多	c=2 d=1.0466 t=916
chang 	長	c=0 d=0.0327915 t=916
chang jia 	長假	c=0 d=0.0360595 t=916
chang sa huang na ge 	長撒謊那個	c=1 d=0.329559 t=916
chang shang 	廠商	c=1 d=0.331211 t=916
chang yong ci 	常用詞	c=0 d=0.1 t=660
chang yong ci hao duo le 	常用詞好多了	c=1 d=1 t=661
chao 	抄	c=0 d=0.1 t=666
che dan 	扯淡	c=0 d=0.0379083 t=916
chen 	趁	c=1 d=0.932394 t=916
chi 	吃	c=0 d=0.1 t=776
chi fan 	吃飯	c=0 d=0.1 t=754
chi tu 	吃土	c=1 d=0.474734 t=916
chong qi 	重啓	c=1 d=0.314963 t=916
chong xie 	重寫	c=0 d=0.0955997 t=916
chong xin 	重新	c=1 d=0.305746 t=916
chou ti 	抽屜	c=1 d=0.310367 t=916
chu 	出	c=1 d=0.99005 t=916
chu lai 	出來	c=1 d=0.431711 t=916
chu lai le 	出來了	c=1 d=1 t=891
chu li 	處理	c=2 d=1.53053 t=916
chu li yi xia 	處理一下	c=1 d=0.937067 t=916
chuang jian 	創建	c=1 d=0.71177 t=916
ci ku 	詞庫	c=15 d=6.33383 t=900
cun 	存	c=2 d=1.97531 t=692
cuo le 	錯了	c=1 d=0.205975 t=916
da bu fen 	大部份	c=1 d=1.06907 t=723
da bu fen zhe teng 	大部份折騰	c=1 d=1 t=650
da ge 	大哥	c=1 d=1 t=751
da ge 	打個	c=1 d=1 t=750
da jian 	搭建	c=0 d=0.0778801 t=916
da lao 	大佬	c=1 d=0.263158 t=916
da mo wang 	大魔王	c=1 d=1 t=916
da wo 	打我	c=1 d=1 t=822
da xiao xie 	大小寫	c=1 d=1 t=621
da xie 	大寫	c=1 d=0.666977 t=916
da xie suo ding 	大寫鎖定	c=1 d=1 t=623
da yin 	打印	c=0 d=0.0286505 t=916
da you xi 	打遊戲	c=0 d=0.0565525 t=916
da yue 	大約	c=1 d=1.09851 t=734
dai 	帶	c=1 d=0.597501 t=916
dai bu zhu 	待不住	c=1 d=0.38868 t=916
dai ma 	代碼	c=0 d=0.0562705 t=916
dai ni 	帶你	c=0 d=0.0484325 t=916
dan ge 	單個	c=1 d=0.431711 t=916
dan xin 	擔心	c=0 d=0.1 t=674
dao jia 	到家	c=1 d=0.055299 t=916
dao ru 	導入	c=1 d=1 t=655
de 	得	c=2 d=0.679231 t=916
de 	的	c=26 d=5.86464 t=916
de le 	得了	c=1 d=0.951229 t=916
de ling dao 	的領導	c=1 d=0.408608 t=916
de ming zi 	的名字	c=1 d=1 t=773
deng hui 	燈會	c=1 d=0.537944 t=916
deng hui 	等會	c=1 d=0.546074 t=916
di er ge 	第二個	c=1 d=1 t=829
di er xiang 	第二項	c=4 d=2.76163 t=881
di yi ge 	第一個	c=0 d=0.1 t=876
di yi ge zi 	第一個字	c=1 d=1 t=877
dian 	點	c=1 d=0.697676 t=916
diao 	掉	c=1 d=0.321422 t=916
ding yi 	定義	c=2 d=1.96561 t=775
diu neng 	丟能	c=1 d=0.869358 t=916
dong bei 	東北	c=0 d=0.0481909 t=916
dong le 	懂了	c=2 d=1.96561 t=867
dong xi 	東西	c=3 d=0.854146 t=916
dou dai 	都帶	c=1 d=0.429557 t=916
dou hui 	都會	c=1 d=1.02848 t=916
dou neng 	都能	c=1 d=0.873716 t=916
dou shi 	都是	c=4 d=1.25841 t=916
dou shi sha wan yi 	都是啥萬一	c=1 d=0.895834 t=916
dou yong 	都用	c=1 d=1 t=597
duan 	端	c=0 d=0.0357007 t=916
duan kou 	端口	c=1 d=0.847894 t=916
dui 	對	c=1 d=0.231078 t=916
dui bi 	對比	c=0 d=0.0331211 t=916
dui bu qi 	對不起	c=1 d=0.467666 t=916
dui wo lai shuo 	對我來說	c=1 d=0.440432 t=916
dui ying 	對應	c=1 d=1 t=884
dun 	蹲	c=1 d=0.371577 t=916
duo 	多	c=2 d=0.848492 t=916
duo ge 	多個	c=1 d=0.433874 t=916
duo hang 	多行	c=1 d=0.66034 t=916
duo hao 	多好	c=1 d=0.640824 t=916
duo jin cheng 	多進程	c=1 d=0.400517 t=916
duo le 	多了	c=1 d=0.216049 t=660
duo ye 	多頁	c=1 d=0.657047 t=916
e 	餓	c=0 d=0.179057 t=864
e meng 	噩夢	c=0 d=0.00566989 t=916
e yi tian le 	餓一天了	c=1 d=1 t=818
ei 	誒	c=0 d=0.0418952 t=916
en 	恩	c=2 d=0.774916 t=916
en en 	嗯嗯	c=1 d=1.099 t=866
en en e 	嗯嗯餓	c=1 d=1 t=865
er shi tian 	二十天	c=1 d=0.360595 t=916
er wei 	而爲	c=0 d=0.0634448 t=916
fa wo 	發我	c=1 d=0.891366 t=916
fa wo 	罰我	c=1 d=0.88692 t=916
fa xian 	發現	c=1 d=1 t=645
fang 	放	c=1 d=0.33454 t=916
fang an 	方案	c=1 d=1.00484 t=759
fang qi 	放棄	c=1 d=0.241714 t=916
fen 	分	c=0 d=0.0211189 t=916
fen qing kuang 	分情況	c=1 d=0.212248 t=916
feng huang 	鳳凰	c=1 d=0.640824 t=916
fo zhen 	佛振	c=1 d=1 t=783
fu gai 	覆蓋	c=1 d=1 t=916
fu jin 	附近	c=1 d=0.511709 t=916
fu wu qi 	服務器	c=1 d=0.794534 t=916
fu zhu 	輔助	c=0 d=0.0408608 t=916
fu zhu rong qi 	輔助容器	c=1 d=0.410656 t=916
gai 	改	c=2 d=0.42354 t=916
gai dian 	改點	c=0 d=0.0540641 t=916
gai ge 	改個	c=1 d=1 t=838
gai guo lai 	改過來	c=1 d=0.946485 t=916
gai le 	改了	c=1 d=0.66365 t=916
gai nian 	概念	c=1 d=0.392586 t=916
gai tian 	改天	c=1 d=1 t=809
gan 	幹	c=1 d=0.45612 t=916
gan ga 	尷尬	c=1 d=0.856415 t=916
gan jue 	感覺	c=6 d=1.44928 t=916
gan xie 	感謝	c=1 d=1 t=892
gang cai 	剛纔	c=0 d=0.1 t=873
gang xue 	剛學	c=1 d=1 t=694
gao 	搞	c=0 d=0.0524663 t=916
ge 	個	c=0 d=0.0491644 t=916
ge shi 	格式	c=3 d=1.89309 t=916
ge shui 	個稅	c=1 d=0.66034 t=916
ge zhong 	各種	c=1 d=0.224249 t=916
gei ta 	給他	c=0 d=0.1 t=836
gei wo 	給我	c=0 d=0.0451581 t=916
gen 	跟	c=0 d=0.0565525 t=916
gen da you xi 	跟打遊戲	c=1 d=0.56836 t=916
geng gai 	更該	c=1 d=0.960708 t=789
geng gui 	更貴	c=1 d=0.465334 t=916
geng jia 	更加	c=1 d=0.822835 t=916
gong zi 	公子	c=2 d=0.92956 t=916
gong zi 	工資	c=1 d=0.67368 t=916
gong zuo 	工作	c=0 d=0.1 t=26
gong zuo liang hao 	工作良好	c=1 d=1 t=27
gu ji 	估計	c=0 d=0.0377192 t=916
guan bi 	關閉	c=1 d=1 t=903
guan fang 	官方	c=2 d=0.941765 t=916
guo 	過	c=0 d=0.0594521 t=916
guo duo 	過多	c=1 d=0.362402 t=916
guo liang nian 	過兩年	c=1 d=0.597501 t=916
guo liang tian 	過兩天	c=1 d=0.444858 t=916
guo ran shi 	果然是	c=1 d=0.298197 t=916
ha ha ha 	哈哈哈	c=4 d=1.29663 t=916
hai 	還	c=1 d=0.63395 t=916
hai de 	還得	c=1 d=0.382893 t=916
hai mei 	還沒	c=0 d=0.0740818 t=916
hai mei wo zi ji 	還沒我自己	c=1 d=0.744532 t=916
hai sheng 	還剩	c=0 d=0.1 t=717
hai sheng xia 	還剩下	c=1 d=1 t=718
hai shi 	還是	c=1 d=0.221855 t=916
hai you 	還有	c=1 d=0.865022 t=916
hai you qian ren 	還有錢人	c=1 d=0.650509 t=916
hai you zhe zhong cao zuo 	還有這種操作	c=1 d=1 t=20
han 	漢	c=2 d=1.5886 t=844
hao 	好	c=2 d=0.612205 t=916
hao 	號	c=1 d=0.331211 t=916
hao chi 	好吃	c=1 d=1 t=803
hao hao 	好好	c=0 d=0.0209088 t=916
hao ji nian 	好幾年	c=1 d=0.551563 t=916
hao xiang 	好像	c=1 d=0.316951 t=916
hao yong 	好用	c=0 d=0.1 t=911
he 	和	c=1 d=0.985112 t=916
he de lai 	合得來	c=0 d=0.0386741 t=916
he ji 	合計	c=0 d=0.1 t=775
hen cheng shu 	很成熟	c=1 d=0.202909 t=916
hen duo 	很多	c=2 d=0.753198 t=916
hen shao 	很少	c=0 d=0.0337902 t=916
hen shao de 	很少的	c=1 d=0.339596 t=916
hen zheng chang 	很正常	c=0 d=0.0410656 t=916
hou 	後	c=1 d=0.591555 t=916
hou lai 	後來	c=1 d=1 t=701
hou xuan 	候選	c=1 d=0.650509 t=916
hou xuan zi 	候選字	c=1 d=0.66365 t=916
hu dun 	護盾	c=1 d=0.479505 t=916
hu kou 	戶口	c=1 d=0.524663 t=916
huan cun 	緩存	c=1 d=0.32628 t=916
hui 	會	c=1 d=0.226502 t=916
hui bu qu 	回不去	c=1 d=0.367879 t=916
hui che 	回車	c=1 d=1.09048 t=639
hui chu xian 	會出現	c=1 d=1 t=664
hui fu 	恢復	c=1 d=0.250324 t=916
hui jia 	回家	c=1 d=0.600496 t=916
hui lai 	回來	c=1 d=0.474339 t=916
hui lao jia 	回老家	c=1 d=0.501576 t=916
hui qu 	回去	c=1 d=0.36911 t=916
hun shu 	混輸	c=7 d=1.84921 t=795
hun xiao 	混淆	c=1 d=0.856415 t=916
huo 	活	c=1 d=0.451581 t=916
huo yue 	活躍	c=0 d=0.1 t=582
huo zhe 	或者	c=1 d=0.301194 t=916
icloud 	iCloud	c=1 d=0.718924 t=916
ji chang 	機場	c=1 d=0.740818 t=916
ji dian 	幾點	c=1 d=1 t=792
ji er 	雞兒	c=1 d=0.489331 t=916
ji xiao 	極小	c=1 d=0.442639 t=916
ji zhe 	記着	c=0 d=0.0245367 t=916
ji zhe 	記者	c=0 d=0.0244143 t=916
jia 	加	c=1 d=0.970446 t=916
jia ban 	加班	c=1 d=1 t=808
jia le 	加了	c=1 d=0.16081 t=591
jia le ci ku 	加了詞庫	c=1 d=1 t=592
jia mi fang shi 	加密方式	c=1 d=0.852144 t=916
jia qian 	價錢	c=1 d=0.386741 t=916
jiang 	將	c=1 d=1 t=883
jiang di 	降低	c=0 d=0.0690734 t=916
jiang lai 	將來	c=1 d=0.960789 t=916
jiao 	叫	c=3 d=2.65787 t=916
jiao nang 	膠囊	c=0 d=0.0318224 t=916
jiao xiao 	較小	c=1 d=0.843665 t=916
jie xi 	解析	c=1 d=0.367879 t=916
jie zou 	節奏	c=0 d=0.0392586 t=916
jin cheng 	進程	c=0 d=0.0398519 t=916
jin nian 	今年	c=1 d=0.380983 t=916
jin ru 	進入	c=1 d=0.249075 t=916
jin wan shang 	今晚上	c=1 d=0.0566989 t=916
jing 	靜	c=0 d=0.1 t=748
jiu 	就	c=1 d=0.270882 t=916
jiu hao 	就好	c=1 d=1 t=684
jiu na dian 	就那點	c=1 d=0.621885 t=916
jiu shi 	就是	c=4 d=1.50096 t=916
jiu shi yin wei 	就是因爲	c=1 d=0.348192 t=916
jiu te me 	就特麼	c=1 d=1 t=810
jiu wan shi 	就萬事	c=1 d=0.256661 t=916
jiu xing 	就行	c=3 d=0.871822 t=916
jiu xing le 	就行了	c=1 d=0.701173 t=916
jiu zai 	就在	c=0 d=0.0367879 t=916
